id	M	dec_year	latitude	longitude	depth	strike	dip	rake	s11	s12	s13	s22	s23	s33
144.0	1.2	2009.264938	42.37549	13.369	6.633	130.0	75.0	-130.0	-2964000.0	-2074000.0	623200.0	-1223000.0	-312200.0	2865000.0
145.0	2.1	2009.26494	42.29768	13.51801	14.089	110.0	65.0	-110.0	334500.0	183900.0	126500.0	519000.0	208900.0	420300.0
146.0	1.9	2009.264947	42.33659	13.46532	12.056	140.0	40.0	-140.0	-2018000.0	63790.0	-940600.0	-320200.0	915500.0	665800.0
147.0	1.4	2009.264989	42.30204	13.4988	13.611	130.0	75.0	-90.0	521300.0	-301800.0	264500.0	81310.0	-271500.0	1463000.0
148.0	1.5	2009.264999	42.33904	13.46046	12.122	120.0	50.0	-120.0	588800.0	546000.0	444200.0	325300.0	840900.0	226900.0
149.0	1.0	2009.265004	42.34184	13.48599	2.676	120.0	70.0	-80.0	483300.0	294200.0	57450.0	132300.0	482900.0	83030.0
150.0	2.0	2009.265007	42.31253	13.47309	5.495	260.0	70.0	60.0	-11380000.0	-13310000.0	6974000.0	-17080000.0	221400.0	19320000.0
151.0	1.2	2009.265023	42.29767	13.48989	14.499	140.0	70.0	-90.0	-1102000.0	-2022000.0	-70420.0	-594500.0	-2341000.0	2601000.0
152.0	1.3	2009.26506	42.33669	13.38978	8.513	60.0	90.0	110.0	-1758000.0	-492800.0	-418600.0	-419900.0	-312200.0	-2847000.0
153.0	1.5	2009.265073	42.30355	13.47855	3.208	25.0	75.0	10.0	1089000.0	89010.0	1397000.0	867700.0	-806600.0	1853000.0
154.0	2.0	2009.26509	42.34263	13.39073	7.989	110.0	60.0	-100.0	-2509000.0	-1889000.0	731800.0	-4730000.0	1131000.0	-1904000.0
155.0	1.1	2009.265111	42.40161	13.37134	4.663	315.0	85.0	100.0	-302400.0	56210.0	266300.0	978100.0	-667400.0	-31090.0
156.0	2.7	2009.265193	42.36424	13.36352	8.179	140.0	65.0	-100.0	-1589000.0	-2879000.0	3202000.0	-2158000.0	821700.0	7229000.0
157.0	1.3	2009.265198	42.36592	13.36605	7.898	360.0	25.0	-10.0	-1289000.0	-2813000.0	3308000.0	-1281000.0	358700.0	6396000.0
158.0	1.3	2009.265202	42.37148	13.35015	8.957	25.0	50.0	-40.0	148200.0	-515500.0	1597000.0	426900.0	-224200.0	176700.0
159.0	1.3	2009.265232	42.36013	13.36179	8.616	130.0	65.0	-90.0	-1207000.0	-2677000.0	2632000.0	-1224000.0	346700.0	6243000.0
160.0	0.0	2009.265254	42.33141	13.39715	8.793	170.0	75.0	-90.0	-682700.0	571500.0	-1452000.0	2423000.0	-1614000.0	-2789000.0
161.0	0.0	2009.265255	42.36753	13.36275	7.907	170.0	75.0	-90.0	-1273000.0	-3266000.0	3589000.0	-900900.0	-207100.0	7362000.0
162.0	1.0	2009.265271	42.36938	13.35772	8.177	85.0	45.0	60.0	743000.0	-636300.0	1477000.0	467600.0	-147700.0	3134000.0
163.0	0.9	2009.265282	42.35869	13.37037	8.18	360.0	70.0	140.0	-2895000.0	-4223000.0	4184000.0	-3487000.0	2405000.0	11510000.0
164.0	1.7	2009.265287	42.26916	13.51957	13.151	90.0	80.0	-150.0	339300.0	-44430.0	-164400.0	443500.0	470300.0	633800.0
165.0	1.9	2009.265288	42.49236	13.38611	8.09	40.0	40.0	-30.0	69800.0	123500.0	80430.0	248400.0	-53000.0	-154100.0
166.0	4.22	2009.265295	42.37394	13.37143	6.798	330.0	45.0	-70.0	-3315000.0	-2579000.0	1469000.0	-191400.0	-1291000.0	3331000.0
167.0	1.4	2009.265302	42.33571	13.38996	8.663	155.0	65.0	-70.0	-1018000.0	-51950.0	-446300.0	92150.0	-466500.0	-2825000.0
168.0	1.9	2009.265303	42.36905	13.38371	6.472	155.0	65.0	-70.0	-2445000.0	-2018000.0	1684000.0	-230700.0	-1026000.0	5356000.0
169.0	3.3	2009.265304	42.36307	13.3706	8.003	0.0	45.0	-55.0	-477800.0	-2854000.0	3749000.0	-2619000.0	1094000.0	7244000.0
170.0	1.4	2009.265329	42.35065	13.42024	4.609	320.0	55.0	-110.0	1478000.0	1798000.0	1085000.0	1994000.0	811800.0	-1348000.0
171.0	1.7	2009.265375	42.29998	13.48661	14.741	315.0	20.0	-30.0	-856400.0	-331500.0	-75030.0	80590.0	-114700.0	2646000.0
172.0	3.29	2009.2654	42.28675	13.49436	4.977	50.0	25.0	-35.0	1118000.0	180100.0	540300.0	1105000.0	-267500.0	641700.0
173.0	1.3	2009.265422	42.3437	13.39145	7.845	270.0	90.0	90.0	-2759000.0	-3883000.0	2559000.0	-5988000.0	2134000.0	7189000.0
174.0	1.3	2009.265424	42.35162	13.42323	4.175	20.0	60.0	-30.0	1914000.0	1372000.0	952800.0	1587000.0	498300.0	-702500.0
175.0	2.7	2009.265426	42.32664	13.50013	2.85	140.0	40.0	-90.0	261300.0	312500.0	-139800.0	-44240.0	690600.0	-1152000.0
176.0	1.1	2009.265455	42.36896	13.35575	8.394	50.0	10.0	30.0	524500.0	-893100.0	2026000.0	949900.0	-441800.0	2282000.0
177.0	1.6	2009.265484	42.30402	13.47947	12.554	160.0	20.0	-60.0	-348700.0	-1547000.0	351900.0	-604500.0	-1608000.0	2914000.0
178.0	1.1	2009.265519	42.26994	13.50496	4.415	30.0	45.0	20.0	754600.0	219400.0	402100.0	500900.0	103400.0	-147200.0
179.0	1.4	2009.265519	42.31956	13.49825	15.337	30.0	45.0	20.0	-585000.0	-408900.0	-86710.0	-233500.0	28550.0	-399100.0
